energy;conductance_lead;conductance_junction
0.0776;1.0;0.108
0.0778;1.0;0.106
0.078;1.0;0.103
0.0782;1.0;0.101
0.0784;1.0;0.098
0.0786;1.0;0.096
0.0788;1.0;0.094
0.079;1.0;0.091
0.0792;1.0;0.089
0.0794;1.0;0.087
0.0796;1.0;0.084
0.0798;1.0;0.082
0.08;1.0;0.08
0.0802;1.0;0.077
0.0804;1.0;0.075
0.0806;1.0;0.073
0.0808;1.0;0.071
0.081;1.0;0.068
0.0812;1.0;0.066
0.0814;1.0;0.064
0.0816;1.0;0.062
0.0818;1.0;0.059
0.082;1.0;0.057
0.0822;1.0;0.055
0.0824;1.0;0.053
0.0826;1.0;0.051
0.0828;1.0;0.049
0.083;1.0;0.047
0.0832;1.0;0.045
0.0834;1.0;0.043
0.0836;1.0;0.041
0.0838;1.0;0.039
0.084;1.0;0.037
0.0842;1.0;0.035
0.0844;1.0;0.033
0.0846;1.0;0.032
0.0848;1.0;0.03
0.085;1.0;0.028
0.0852;1.0;0.026
0.0854;1.0;0.025
0.0856;1.0;0.023
0.0858;1.0;0.021
0.086;1.0;0.02
0.0862;1.0;0.018
0.0864;1.0;0.017
0.0866;1.0;0.016
0.0868;1.0;0.014
0.087;1.0;0.013
0.0872;1.0;0.012
0.0874;1.0;0.011
0.0876;1.0;0.009
0.0878;1.0;0.008
0.088;1.0;0.007
0.0882;1.0;0.006
0.0884;1.0;0.005
0.0886;1.0;0.005
0.0888;1.0;0.004
0.089;1.0;0.003
0.0892;1.0;0.002
0.0894;1.0;0.002
0.0896;1.0;0.001
0.0898;1.0;0.001
0.09;1.0;0.001
0.0902;1.0;0.0
0.0904;1.0;0.0
0.0906;1.0;0.0
0.0908;1.0;0.0
0.091;1.0;0.0
0.0912;1.0;0.0
0.0914;1.0;0.0
0.0916;1.0;0.001
0.0918;1.0;0.001
0.092;1.0;0.002
0.0922;1.0;0.002
0.0924;1.0;0.003
0.0926;1.0;0.004
0.0928;1.0;0.004
0.093;1.0;0.005
0.0932;1.0;0.006
0.0934;1.0;0.008
0.0936;1.0;0.009
0.0938;1.0;0.01
0.094;1.0;0.012
0.0942;1.0;0.013
0.0944;1.0;0.015
0.0946;1.0;0.017
0.0948;1.0;0.019
0.095;1.0;0.021
0.0952;1.0;0.023
0.0954;1.0;0.025
0.0956;1.0;0.027
0.0958;1.0;0.03
0.096;1.0;0.032
0.0962;1.0;0.035
0.0964;1.0;0.038
0.0966;1.0;0.041
0.0968;1.0;0.044
0.097;1.0;0.047
0.0972;1.0;0.05
0.0974;1.0;0.054
0.0976;1.0;0.057
0.0978;1.0;0.061
0.098;1.0;0.065
0.0982;1.0;0.068
0.0984;1.0;0.072
0.0986;1.0;0.076
0.0988;1.0;0.081
0.099;1.0;0.085
0.0992;1.0;0.089
0.0994;1.0;0.094
0.0996;1.0;0.099
0.0998;1.0;0.103
0.1;1.0;0.108
